individu,longueur.1,épaisseur.1,largeur.1,longueur.2,épaisseur.2,largeur.2,sacrifie,milieu,TreatLarve,TreatAdult,moyLong,moyepaiss,moylargeur,volume,poids,Fecondite,Larve,FecondIncomplet
1NlNa,9.43,2.68,4.76,9.51,2.67,4.79,0,NlNa,Nl,Na,9.47,2.675,4.775,63.3031817292,124.8,0,0,1
2NlNa,9.18,2.74,4.57,9.57,2.62,4.56,0,NlNa,Nl,Na,9.375,2.68,4.565,60.02404375,110.3,1,11,1
3NlNa,9.95,2.6,4.69,9.84,2.43,4.82,0,NlNa,Nl,Na,9.895,2.515,4.755,61.9273800663,129.3,M,M,0
4NlNa,9.57,2.48,4.9,9.87,2.2,4.59,0,NlNa,Nl,Na,9.72,2.34,4.745,56.48026644,123.3,0,0,1
5NlNa,9.42,2.37,4.52,9.41,2.09,4.43,0,NlNa,Nl,Na,9.415,2.23,4.475,49.1695942792,99.6,0,21,1
6NlNa,9.49,2.35,4.53,9.83,2.23,4.75,0,NlNa,Nl,Na,9.66,2.29,4.64,53.71665824,120.6,0,0,1
7NlNa,9.44,2.47,4.55,9.56,2.66,4.58,0,NlNa,Nl,Na,9.5,2.565,4.565,58.214363625,115,3,24,1
8NlNa,9.26,2.41,4.54,9.5,2.24,4.52,0,NlNa,Nl,Na,9.38,2.325,4.53,51.70141095,113.6,0,M,1
9NlNa,9.89,2.31,4.97,9.63,2.53,4.86,0,NlNa,Nl,Na,9.76,2.42,4.915,60.7529125867,117.1,M,M,0
10NlNa,9.75,2.56,4.7,9.74,2.6,4.67,0,NlNa,Nl,Na,9.745,2.58,4.685,61.643819815,119.6,0,0,1
11NlNa,9.97,2.58,5.04,9.7,2.93,4.48,0,NlNa,Nl,Na,9.835,2.755,4.76,67.4965100367,108.9,1,0,1
12NlNa,10.39,2.59,5.15,10.18,2.51,5.03,0,NlNa,Nl,Na,10.285,2.55,5.09,69.861942425,138,2,11,1
13NlNa,9.72,2.5,4.83,9.77,2.74,4.63,0,NlNa,Nl,Na,9.745,2.62,4.73,63.2008141967,121.4,4,16,1
14NlNa,9.26,2.16,4.62,9.18,2.73,4.53,0,NlNa,Nl,Na,9.22,2.445,4.575,53.973338325,102.3,0,30,1
15NlNa,9.81,2.43,4.65,9.47,2.86,4.68,0,NlNa,Nl,Na,9.64,2.645,4.665,62.24905403,111.8,0,11,1
16NlNa,10.11,2.7,4.97,10.02,2.69,5.25,0,NlNa,Nl,Na,10.065,2.695,5.11,72.5390471575,132.9,M,M,1
17NlNa,10.6,2.84,5.19,10.76,2.57,5.16,0,NlNa,Nl,Na,10.68,2.705,5.175,78.23971755,156.2,0,30,1
18NlNa,9.35,2.24,4.3,9.11,2.4,4.36,0,NlNa,Nl,Na,9.23,2.32,4.33,48.5239313867,96.5,2,7,1
19NlPNa,10.22,2.41,4.51,9.99,2.42,4.76,0,NlPNa,Nl,PNa,10.105,2.415,4.635,59.1945316988,116.5,0,0,0
20NlPNa,9.62,2.57,4.64,9.6,2.2,4.71,0,NlPNa,Nl,PNa,9.61,2.385,4.675,56.0753230125,115,M,M,0
21NlPNa,9.51,2.43,4.75,10.1,2.49,4.92,0,NlPNa,Nl,PNa,9.805,2.46,4.835,61.031997095,118.8,M,M,0
22NlPNa,9.77,2.6,4.59,9.67,3.14,4.78,0,NlPNa,Nl,PNa,9.72,2.87,4.685,68.39685846,137.3,1,0,0
23NlPNa,9.3,2.3,4.72,9.3,2.63,4.59,0,NlPNa,Nl,PNa,9.3,2.465,4.655,55.846756525,106.8,1,0,0
24NlPNa,10.87,2.52,4.99,9.92,2.26,5.25,0,NlPNa,Nl,PNa,10.395,2.39,5.12,66.56880384,150.1,M,M,0
25NlPNa,10.54,2.77,5.08,10.61,2.46,5.2,0,NlPNa,Nl,PNa,10.575,2.615,5.14,74.386407675,171.3,2,1,0
26NlNa,9.49,2.07,4.82,9.06,2.27,4.71,0,NlNa,Nl,Na,9.275,2.17,4.765,50.1897410292,119.9,0,0,0
27NlNa,9.14,2.45,4.85,9.46,2.16,4.79,0,NlNa,Nl,Na,9.3,2.305,4.82,54.0728567,129,0,8,0
28NlNa,10.64,2.34,5.18,10.44,2.42,4.95,0,NlNa,Nl,Na,10.54,2.38,5.065,66.4929215533,163.4,17,21,0
29NlNa,9.71,1.85,4.5,9.34,2.37,4.84,0,NlNa,Nl,Na,9.525,2.11,4.67,49.118231075,133,6,33,0
30NlNa,9.3,2.13,4.58,9.33,1.92,4.51,0,NlNa,Nl,Na,9.315,2.025,4.545,44.8662913313,114.6,M,M,0
31NlNa,9.54,2.35,4.83,8.56,2.31,4.75,0,NlNa,Nl,Na,9.05,2.33,4.79,52.8589353167,124.4,0,40,0
32NlNa,9.49,2.23,5,10.1,2.11,4.93,0,NlNa,Nl,Na,9.795,2.17,4.965,55.2283190025,118,1,0,0
33NlNa,9.59,2.52,4.57,9.11,2.06,4.63,0,NlNa,Nl,Na,9.35,2.29,4.6,51.5446176667,125.4,1,0,0
34NlNa,9.92,2.53,4.92,10.55,2.03,4.93,0,NlNa,Nl,Na,10.235,2.28,4.925,60.14607985,143.2,1,2,0
35NlNa,10.35,2.84,5.03,10.35,2.51,5.29,0,NlNa,Nl,Na,10.35,2.675,5.16,74.7639495,164.3,18,12,0
36NlNa,8.99,2.25,5.69,8.84,2.58,4.46,0,NlNa,Nl,Na,8.915,2.415,5.075,57.1811554563,110.2,16,9,0
37NlNa,9.34,2.55,4.52,9.37,2.01,4.63,0,NlNa,Nl,Na,9.355,2.28,4.575,51.06791595,116.7,3,0,0
38NlNa,10.77,2.41,4.24,10.54,2.47,5.51,0,NlNa,Nl,Na,10.655,2.44,4.875,66.32790775,159.6,3,0,0
39NlNa,9.23,2.28,4.78,9.28,2.29,4.58,0,NlNa,Nl,Na,9.255,2.285,4.68,51.79488561,130.1,M,M,0
40NlNa,9.62,2.31,4.84,9.79,1.9,4.74,0,NlNa,Nl,Na,9.705,2.105,4.79,51.2107989025,116.5,1,0,0
