individu,traitement,TreatLarve,TreatAdult,lipides,glucose,glycogene,sumLGly,sumenergie,SsumLGly,Ssumenergie,poids,volume,SLipides,SGlucose,SGlycogene,OLSresidue,MSL,VSL,DSL,longueur.1,epaisseur.1,largeur.1,longueur.2,epaisseur.2,largeur.2,moyLong,moyepaiss,moylargeur
S2NlNa,NlNa,N,N,0.8,0.501,0.398,0.899,1.699,1.080406214,1.987608985,158.4,43.00204017,0.935690007,0.637778314,0.47303074,0.329777699860583,161.945114199732,44.281730499948,3.61295794387408,9.59,1.87,4.31,9.38,2.15,4.31,9.485,2.01,4.31
S3NlNa,NlNa,N,N,0.292,0.177,0.274,0.451,0.743,0.821753874,1.239930174,99.4,30.84663309,0.486944339,0.389185221,0.481481079,-0.040015246364766,114.510019474339,37.2074859814317,2.84743631046273,9.07,1.73,4.04,9.15,1.43,4.15,9.11,1.58,4.095
S4NlNa,NlNa,N,N,0.632,0.391,0.371,0.762,1.394,0.930836921,1.653686426,130.2,39.71327599,0.749554833,0.508535466,0.447757823,0.137499509963789,133.738908073451,41.1496526253906,3.20253493077496,9.54,1.82,4.44,9.4,1.81,4.39,9.47,1.815,4.415
S11NlNa,NlNa,N,N,0.896,0.378,0.418,0.796,1.692,0.755100297,1.617508642,127.1,56.77885179,0.856607132,0.352701801,0.397787732,0.054958231876693,121.419539161251,53.4415121791541,2.32979398523464,9.61,2.23,4.83,9.8,2.38,4.87,9.705,2.305,4.85
S12NlNa,NlNa,N,N,0.952,0.402,0.535,0.937,1.889,1.434543977,2.717182829,128,49.01982485,1.36868152,0.703299874,0.798282733,0.172637694191478,140.276170979946,55.3435446973251,2.41028623468791,9.31,2.42,4.46,9.22,1.99,4.71,9.265,2.205,4.585
S13NlNa,NlNa,N,N,0.52,0.26,0.351,0.611,1.131,1.667775371,2.665002475,106.7,45.03428035,1.223816396,0.972008014,0.901707937,0.124261502741165,138.029659492774,63.339419690431,1.89182442847312,8.62,2.15,4.33,8.9,2.3,4.5,8.76,2.225,4.415
S14NlNa,NlNa,N,N,0.796,0.364,0.342,0.706,1.502,1.674715789,3.139582495,106.9,45.16636916,1.662133591,1.131731054,0.770028075,0.093694746251565,132.8309929596,60.2253057293284,1.95752955913803,8.78,2.32,4.31,8.98,2.19,4.31,8.88,2.255,4.31
S15NlNa,NlNa,N,N,0.644,0.389,0.489,0.878,1.522,1.397740615,2.263476938,117.1,52.4755336,0.957206279,0.716363808,0.756912117,0.092659676061182,129.77622911364,60.1307562790427,2.03975563705369,9.23,2.4,4.63,9.23,2.37,4.48,9.23,2.385,4.555
S16NlNa,NlNa,N,N,0.648,0.443,0.615,1.058,1.706,0.982547118,1.60159296,118.8,49.46913,0.608396348,0.401981925,0.573698123,-0.017482951441387,112.801173729954,46.1871325587977,2.51277553315854,9.75,1.93,4.86,9.7,2.12,4.74,9.725,2.025,4.8
S17NlNa,NlNa,N,N,0.496,0.347,0.355,0.702,1.198,1.039506109,1.674867465,115.7,43.47433156,0.693108455,0.581062211,0.51335965,0.063900319681887,125.589252615927,48.4644787778154,2.47721049161597,9.31,1.96,4.59,9.28,1.93,4.6,9.295,1.945,4.595
