individu,milieu,eggs,larves,oeufspaseclos,Mort,TreatLarve,TreatAdult,OLSresidueOLD,MSLOLD,VSLOLD,poids,moyLong,volume,moylargeur,moyepaiss,Days.laid,Days.alive,DaysNotLaid,DaysNotLaid.b,reproduction 1,reproduction 2,reproduction 3,reproduction 4,reproduction 5,reproduction 6,reproduction 7,reproduction 8,reproduction 1Bin,reproduction 2Bin,reproduction 3Bin,reproduction 4Bin,reproduction 5Bin,reproduction 6Bin,reproduction 7Bin,reproduction 8Bin,OLSresidue,MSL,VSL,DSL
1NlNa,NlNa,39,28,11,0,N,N,0.0959372471,128.4313622723,65.7581039895,124.8,9.47,63.3031817292,4.775,2.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2NlNa,NlNa,88,75,13,0,N,N,-0.0034924101,116.9472658818,64.8691272368,110.3,9.375,60.02404375,4.565,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4NlNa,NlNa,62,49,13,0,N,N,0.0216159453,117.4710570603,52.9660029706,123.3,9.72,56.48026644,4.745,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5NlNa,NlNa,103,77,26,0,N,N,-0.1157022498,104.2802209836,52.2577607104,99.6,9.415,49.1695942792,4.475,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6NlNa,NlNa,108,87,21,0,N,N,0.0142626296,117.0235247857,51.6138135971,120.6,9.66,53.71665824,4.64,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7NlNa,NlNa,112,90,22,0,N,N,0.0066032273,117.2436474988,59.7257459235,115,9.5,58.214363625,4.565,2.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8NlNa,NlNa,35,32,3,1,N,N,0.0247137902,120.2562402884,55.7578705301,113.6,9.38,51.70141095,4.53,2.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10NlNa,NlNa,90,81,9,0,N,N,-0.0149862883,113.0830743531,57.2282788156,119.6,9.745,61.643819815,4.685,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11NlNa,NlNa,46,35,11,0,N,N,-0.1306643245,100.2026235502,60.4406875776,108.9,9.835,67.4965100367,4.76,2.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12NlNa,NlNa,134,124,10,0,N,N,-0.0006875808,111.2322144023,52.4824956139,138,10.285,69.861942425,5.09,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13NlNa,NlNa,87,66,21,0,N,N,-4.82511799380948E-05,114.7849935323,58.6737458349,121.4,9.745,63.2008141967,4.73,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
