individus	longueur	largeur	epaisseur	Repeat	FecondIncomplet
100NlNa	9.45	4.7	1.54	1	0
100PNlPNa	10.52	5.17	2.81	1	0
101NlNa	9.37	4.52	2.01	1	0
101PNlPNa	10.22	5.16	3.02	1	0
102NlNa	8.88	4.12	1.75	1	0
102PNlPNa	9.22	4.75	2.85	1	0
103NlNa	9.33	4.3	1.67	1	0
103PNlPNa	10.66	5.12	2.61	1	0
104NlNa	8.61	4	1.63	1	0
104PNlPNa	10.22	5.08	2.98	1	0
105NlNa	8.78	4.15	1.73	1	0
105PNlNa	9.88	5.02	2.96	1	0
106NlNa	8.96	4.46	1.74	1	0
106PNlNa	9.81	4.77	2.56	1	0
107NlNa	9.77	4.78	1.95	1	0
107PNlNa	9.71	4.73	2.71	1	0
108NlNa	8.93	4.21	1.96	1	0
108PNlNa	9.83	4.87	2.57	1	0
109NlNa	8.3	4.16	1.67	1	0
109PNlNa	9.61	4.76	2.86	1	0
10NlNa	9.75	4.7	2.56	1	1
10PNlNa	9	4.62	2.95	1	0
10SNlPNa	10.74	4.74	2.11	1	0
10SPNlPNa	10.36	5.03	2.68	1	0
110NlNa	9.31	4.56	2.08	1	0
110PNlNa	9.48	4.64	2.3	1	0
111NlNa	9.24	4.47	1.91	1	0
111PNlNa	9.85	4.72	2.48	1	0
112NlNa	9.15	4.59	1.74	1	0
112PNlNa	10.49	5.15	2.43	1	0
113NlNa	9.7	4.53	2.01	1	0
113PNlNa	9.46	4.76	2.48	1	0
114NlNa	9.17	4.39	1.72	1	0
114PNlNa	9.04	4.65	2.48	1	0
115NlNa	9.13	4.33	2.42	1	0
115PNlNa	9.09	4.68	2.36	1	0
116NlNa	8.44	4.3	1.56	1	0
116PNlNa	9.39	4.53	1.98	1	0
117NlNa	9.34	4.57	2.02	1	0
117PNlNa	9.35	4.45	2.1	1	0
118NlNa	9.06	4.53	1.94	1	0
118PNlPNa	9.3	4.51	2.14	1	0
119NlNa	9.84	4.72	2.38	1	0
119PNlPNa	9.53	4.58	2.93	1	0
11NlNa	9.97	5.04	2.58	1	1
11PNlNa	8.92	4.18	2.4	1	0
11SNlPNa	9.5	4.77	1.76	1	0
